,page,transdate,team,transaction
10027,/players/myles-jack-jackmy01,2019-12-05,Jacksonville (NFL),Placed on Injured Reserve (Knee)
10026,/players/myles-jack-jackmy01,2021-12-27,Jacksonville (NFL),Placed on COVID-19 List
10025,/players/myles-jack-jackmy01,2021-12-31,Jacksonville (NFL),Activated from the Reserve/COVID-19 List
10024,/players/myles-jack-jackmy01,2022-03-16,Jacksonville (NFL),Released
10023,/players/myles-jack-jackmy01,2022-03-17,Pittsburgh (NFL),Signed
10022,/players/myles-jack-jackmy01,2023-03-16,Pittsburgh (NFL),Released
10021,/players/myles-jack-jackmy01,2023-08-07,Philadelphia (NFL),Signed
10020,/players/myles-jack-jackmy01,2023-08-20,Philadelphia (NFL),Placed on the Reserve/Retired List
10019,/players/myles-jack-jackmy01,2023-11-16,Philadelphia (NFL),Waived
10018,/players/myles-jack-jackmy01,2023-11-20,Pittsburgh (NFL),Signed to the Practice Squad
10017,/players/myles-jack-jackmy01,2023-12-22,Pittsburgh (NFL),Signed to the Active Roster from the Practice Squad
10016,/players/myles-jack-jackmy01,2023-12-25,Pittsburgh (NFL),Returned to the Practice Squad
10015,/players/myles-jack-jackmy01,2023-12-30,Pittsburgh (NFL),Signed to the Active Roster from the Practice Squad
10014,/players/myles-jack-jackmy01,2024-01-01,Pittsburgh (NFL),Returned to the Practice Squad
10013,/players/myles-jack-jackmy01,2024-01-05,Pittsburgh (NFL),Signed to the Active Roster from the Practice Squad
10012,/players/myles-jack-jackmy01,2024-01-08,Pittsburgh (NFL),Returned to the Practice Squad
10011,/players/myles-jack-jackmy01,2024-01-14,Pittsburgh (NFL),Signed to the Active Roster from the Practice Squad
10010,/players/myles-jack-jackmy01,2024-01-16,Pittsburgh (NFL),Returned to the Practice Squad
27523,/players/myles-murphy-murphmy01,2023-05-12,Cincinnati (NFL),Signed
25329,/players/nahshon-wright-wrighna02,2021-07-21,Dallas (NFL),Signed
25328,/players/nahshon-wright-wrighna02,2021-11-30,Dallas (NFL),Placed on COVID-19 List
25327,/players/nahshon-wright-wrighna02,2021-12-13,Dallas (NFL),Activated from the Reserve/COVID-19 List
25326,/players/nahshon-wright-wrighna02,2023-08-31,Dallas (NFL),Placed on Injured Reserve (Ankle)
25325,/players/nahshon-wright-wrighna02,2023-10-12,Dallas (NFL),Designated for return from Injured Reserve
25324,/players/nahshon-wright-wrighna02,2023-10-16,Dallas (NFL),Activated from Injured Reserve
25012,/players/najee-harris-harrina05,2021-05-25,Pittsburgh (NFL),Signed
26797,/players/nakobe-dean-deanna01,2022-05-16,Philadelphia (NFL),Signed
26796,/players/nakobe-dean-deanna01,2023-09-12,Philadelphia (NFL),Placed on Injured Reserve (Foot)
26795,/players/nakobe-dean-deanna01,2023-10-10,Philadelphia (NFL),Designated for return from Injured Reserve
26794,/players/nakobe-dean-deanna01,2023-10-14,Philadelphia (NFL),Activated from Injured Reserve
26793,/players/nakobe-dean-deanna01,2023-11-16,Philadelphia (NFL),Placed on Injured Reserve (Foot)
20068,/players/nasir-adderley-adderna01,2019-06-13,LA Chargers (NFL),Signed
20067,/players/nasir-adderley-adderna01,2019-10-26,LA Chargers (NFL),Placed on Injured Reserve (Hamstring)
20066,/players/nasir-adderley-adderna01,2021-08-20,LA Chargers (NFL),Placed on COVID-19 List
20065,/players/nasir-adderley-adderna01,2021-08-24,LA Chargers (NFL),Activated from the Reserve/COVID-19 List
20064,/players/nasir-adderley-adderna01,2021-12-27,LA Chargers (NFL),Placed on COVID-19 List
20063,/players/nasir-adderley-adderna01,2022-01-01,LA Chargers (NFL),Activated from the Reserve/COVID-19 List
4792,/players/nat-berhe-berhena01,2014-05-16,NY Giants (NFL),Signed
4791,/players/nat-berhe-berhena01,2015-09-05,NY Giants (NFL),Placed on Injured Reserve (Calf)
4790,/players/nat-berhe-berhena01,2018-04-06,Pittsburgh (NFL),Signed
4789,/players/nat-berhe-berhena01,2018-09-01,Pittsburgh (NFL),Released
4788,/players/nat-berhe-berhena01,2018-09-03,Pittsburgh (NFL),Signed
4787,/players/nat-berhe-berhena01,2018-10-02,Pittsburgh (NFL),Placed on Injured Reserve (Pectoral)
20266,/players/nate-davis-davisna03,2019-05-31,Tennessee (NFL),Signed
20265,/players/nate-davis-davisna03,2021-08-30,Tennessee (NFL),Placed on COVID-19 List
20264,/players/nate-davis-davisna03,2021-09-08,Tennessee (NFL),Activated from the Reserve/COVID-19 List
20263,/players/nate-davis-davisna03,2021-12-25,Tennessee (NFL),Placed on COVID-19 List
20262,/players/nate-davis-davisna03,2021-12-30,Tennessee (NFL),Activated from the Reserve/COVID-19 List
20261,/players/nate-davis-davisna03,2022-12-23,Tennessee (NFL),Placed on Injured Reserve (Ankle)
20260,/players/nate-davis-davisna03,2023-03-16,Chicago (NFL),Signed
5784,/players/nate-freese-freesna01,2014-05-16,Detroit (NFL),Signed
5783,/players/nate-freese-freesna01,2014-09-22,Detroit (NFL),Waived
15407,/players/nate-gerry-gerryna01,2017-05-11,Philadelphia (NFL),Signed
15406,/players/nate-gerry-gerryna01,2017-09-02,Philadelphia (NFL),Waived
15405,/players/nate-gerry-gerryna01,2017-09-03,Philadelphia (NFL),Signed to the Practice Squad
15404,/players/nate-gerry-gerryna01,2017-10-19,Philadelphia (NFL),Signed to the Active Roster from the Practice Squad
15403,/players/nate-gerry-gerryna01,2020-07-29,Philadelphia (NFL),Placed on COVID-19 List
15402,/players/nate-gerry-gerryna01,2020-08-09,Philadelphia (NFL),Activated from the Reserve/COVID-19 List
15401,/players/nate-gerry-gerryna01,2020-10-30,Philadelphia (NFL),Placed on Injured Reserve (Ankle)
15400,/players/nate-gerry-gerryna01,2021-03-29,San Francisco (NFL),Signed
15399,/players/nate-gerry-gerryna01,2021-07-06,San Francisco (NFL),Released
15398,/players/nate-gerry-gerryna01,2021-09-09,San Francisco (NFL),Signed to the Practice Squad
15397,/players/nate-gerry-gerryna01,2021-11-02,San Francisco (NFL),Released from the Practice Squad
15396,/players/nate-gerry-gerryna01,2022-08-07,Washington (NFL),Signed
15395,/players/nate-gerry-gerryna01,2022-08-23,Washington (NFL),Placed on Injured Reserve (Undisclosed)
15394,/players/nate-gerry-gerryna01,2022-08-25,Washington (NFL),Released from Injured Reserve
15393,/players/nate-gerry-gerryna01,2022-11-03,Washington (NFL),Signed to the Practice Squad
15392,/players/nate-gerry-gerryna01,2022-11-05,Washington (NFL),Signed to the Active Roster from the Practice Squad
15391,/players/nate-gerry-gerryna01,2022-11-07,Washington (NFL),Returned to the Practice Squad
15390,/players/nate-gerry-gerryna01,2022-11-14,Washington (NFL),Signed to the Active Roster from the Practice Squad
15389,/players/nate-gerry-gerryna01,2022-11-15,Washington (NFL),Returned to the Practice Squad
15388,/players/nate-gerry-gerryna01,2022-11-19,Washington (NFL),Signed to the Active Roster from the Practice Squad
15387,/players/nate-gerry-gerryna01,2022-11-21,Washington (NFL),Returned to the Practice Squad
15386,/players/nate-gerry-gerryna01,2023-01-04,Washington (NFL),Signed to the Active Roster from the Practice Squad
15385,/players/nate-gerry-gerryna01,2023-05-23,Washington (NFL),Released
14937,/players/nate-hairston-hairsna01,2017-05-11,Indianapolis (NFL),Signed
14936,/players/nate-hairston-hairsna01,2019-08-29,Indianapolis (NFL),Traded to the New York Jets
14935,/players/nate-hairston-hairsna01,2020-09-05,NY Jets (NFL),Waived
14934,/players/nate-hairston-hairsna01,2020-09-07,NY Jets (NFL),Signed
14933,/players/nate-hairston-hairsna01,2020-10-01,NY Jets (NFL),Waived
14932,/players/nate-hairston-hairsna01,2020-10-12,Baltimore (NFL),Signed to the Practice Squad
14931,/players/nate-hairston-hairsna01,2020-12-12,Denver (NFL),Signed from the Baltimore Ravens practice squad
14930,/players/nate-hairston-hairsna01,2021-04-08,Denver (NFL),Released
14929,/players/nate-hairston-hairsna01,2021-04-09,Denver (NFL),Signed
14928,/players/nate-hairston-hairsna01,2021-08-31,Denver (NFL),Released
14927,/players/nate-hairston-hairsna01,2021-09-01,Denver (NFL),Signed to the Practice Squad
14926,/players/nate-hairston-hairsna01,2021-09-11,Denver (NFL),Signed to the Active Roster from the Practice Squad
14925,/players/nate-hairston-hairsna01,2021-09-13,Denver (NFL),Returned to the Practice Squad
14924,/players/nate-hairston-hairsna01,2021-09-14,Denver (NFL),Signed to the Active Roster from the Practice Squad
14923,/players/nate-hairston-hairsna01,2022-01-07,Denver (NFL),Placed on COVID-19 List
14922,/players/nate-hairston-hairsna01,2022-01-11,Denver (NFL),Activated from the Reserve/COVID-19 List
14921,/players/nate-hairston-hairsna01,2022-03-29,Minnesota (NFL),Signed
14920,/players/nate-hairston-hairsna01,2022-08-30,Minnesota (NFL),Released
14919,/players/nate-hairston-hairsna01,2022-09-21,Arizona (NFL),Signed to the Practice Squad
14918,/players/nate-hairston-hairsna01,2022-12-17,Arizona (NFL),Signed to the Active Roster from the Practice Squad
14917,/players/nate-hairston-hairsna01,2022-12-19,Arizona (NFL),Returned to the Practice Squad
14916,/players/nate-hairston-hairsna01,2022-12-24,Arizona (NFL),Signed to the Active Roster from the Practice Squad
14915,/players/nate-hairston-hairsna01,2022-12-26,Arizona (NFL),Returned to the Practice Squad
14914,/players/nate-hairston-hairsna01,2022-12-28,Arizona (NFL),Placed on the Practice Squad/Injured List
14913,/players/nate-hairston-hairsna01,2023-01-10,Arizona (NFL),Signed to a future contract
14912,/players/nate-hairston-hairsna01,2023-08-28,Arizona (NFL),Released
25724,/players/nate-hobbs-hobbsna01,2021-05-18,Las Vegas (NFL),Signed
25723,/players/nate-hobbs-hobbsna01,2021-12-20,Las Vegas (NFL),Placed on COVID-19 List
25722,/players/nate-hobbs-hobbsna01,2021-12-25,Las Vegas (NFL),Activated from the Reserve/COVID-19 List
25721,/players/nate-hobbs-hobbsna01,2022-10-17,Las Vegas (NFL),Placed on Injured Reserve (Hand)
25720,/players/nate-hobbs-hobbsna01,2022-11-23,Las Vegas (NFL),Designated for return from Injured Reserve
25719,/players/nate-hobbs-hobbsna01,2022-12-03,Las Vegas (NFL),Activated from Injured Reserve
6768,/players/nate-orchard-orchana01,2015-05-07,Cleveland (NFL),Signed
6767,/players/nate-orchard-orchana01,2016-10-01,Cleveland (NFL),Placed on Injured Reserve (Ankle)
6766,/players/nate-orchard-orchana01,2018-09-01,Cleveland (NFL),Waived
6765,/players/nate-orchard-orchana01,2018-09-11,Buffalo (NFL),Signed
6764,/players/nate-orchard-orchana01,2018-10-02,Buffalo (NFL),Waived
6763,/players/nate-orchard-orchana01,2018-10-10,Kansas City (NFL),Signed
6762,/players/nate-orchard-orchana01,2018-11-06,Kansas City (NFL),Waived
6761,/players/nate-orchard-orchana01,2019-04-04,Seattle (NFL),Signed
6760,/players/nate-orchard-orchana01,2019-05-10,Seattle (NFL),Released
6759,/players/nate-orchard-orchana01,2019-05-16,Miami (NFL),Signed
6758,/players/nate-orchard-orchana01,2019-09-03,Miami (NFL),Released
6757,/players/nate-orchard-orchana01,2019-11-27,Washington (NFL),Signed
6756,/players/nate-orchard-orchana01,2020-03-26,Washington (NFL),Re-signed
6755,/players/nate-orchard-orchana01,2020-09-05,Washington (NFL),Released
6754,/players/nate-orchard-orchana01,2020-09-06,Washington (NFL),Signed to the Practice Squad
6753,/players/nate-orchard-orchana01,2020-09-29,Washington (NFL),Signed to the Active Roster from the Practice Squad
6752,/players/nate-orchard-orchana01,2020-11-07,Washington (NFL),Waived
6751,/players/nate-orchard-orchana01,2020-11-09,Houston (NFL),Acquired via waivers (from the Washington Football Team)
6750,/players/nate-orchard-orchana01,2020-12-12,Houston (NFL),Waived
6749,/players/nate-orchard-orchana01,2020-12-19,Tennessee (NFL),Signed to the Practice Squad
6748,/players/nate-orchard-orchana01,2021-01-11,Tennessee (NFL),Signed to a future contract
6747,/players/nate-orchard-orchana01,2021-05-10,Tennessee (NFL),Released
6746,/players/nate-orchard-orchana01,2021-11-04,Minnesota (NFL),Signed to the Practice Squad
6745,/players/nate-orchard-orchana01,2021-11-06,Minnesota (NFL),Released from the Practice Squad
6744,/players/nate-orchard-orchana01,2021-11-10,Minnesota (NFL),Signed to the Practice Squad
6743,/players/nate-orchard-orchana01,2021-11-19,Minnesota (NFL),Released from the Practice Squad
6742,/players/nate-orchard-orchana01,2021-11-25,Green Bay (NFL),Signed to the Practice Squad
6741,/players/nate-orchard-orchana01,2021-12-14,Washington (NFL),Signed from the Green Bay Packers practice squad
6740,/players/nate-orchard-orchana01,2021-12-24,Washington (NFL),Placed on COVID-19 List
6739,/players/nate-orchard-orchana01,2021-12-30,Washington (NFL),Activated from the Reserve/COVID-19 List
2150,/players/nate-palmer-palmena02,2013-05-10,Green Bay (NFL),Signed
2149,/players/nate-palmer-palmena02,2014-08-30,Green Bay (NFL),Placed on Injured Reserve (Knee)
2148,/players/nate-palmer-palmena02,2016-04-08,Green Bay (NFL),Waived
2147,/players/nate-palmer-palmena02,2016-04-11,Tennessee (NFL),Acquired via waivers (from the Green Bay Packers)
2146,/players/nate-palmer-palmena02,2017-03-09,Tennessee (NFL),Re-signed
2145,/players/nate-palmer-palmena02,2018-08-07,Tennessee (NFL),Placed on Injured Reserve (Leg)
12084,/players/nate-sudfeld-sudfena01,2016-05-09,Washington (NFL),Signed
12083,/players/nate-sudfeld-sudfena01,2017-09-02,Washington (NFL),Waived
12082,/players/nate-sudfeld-sudfena01,2017-09-04,Philadelphia (NFL),Signed to the Practice Squad
12081,/players/nate-sudfeld-sudfena01,2017-11-01,Philadelphia (NFL),Signed to the Active Roster from the Practice Squad
12080,/players/nate-sudfeld-sudfena01,2019-04-15,Philadelphia (NFL),Re-signed
12079,/players/nate-sudfeld-sudfena01,2020-03-24,Philadelphia (NFL),Re-signed
12078,/players/nate-sudfeld-sudfena01,2021-04-07,San Francisco (NFL),Signed
12077,/players/nate-sudfeld-sudfena01,2021-08-31,San Francisco (NFL),Released
12076,/players/nate-sudfeld-sudfena01,2021-09-01,San Francisco (NFL),Signed to the Practice Squad
12075,/players/nate-sudfeld-sudfena01,2021-10-09,San Francisco (NFL),Signed to the Active Roster from the Practice Squad
12074,/players/nate-sudfeld-sudfena01,2021-10-11,San Francisco (NFL),Returned to the Practice Squad
12073,/players/nate-sudfeld-sudfena01,2021-10-23,San Francisco (NFL),Signed to the Active Roster from the Practice Squad
12072,/players/nate-sudfeld-sudfena01,2021-10-25,San Francisco (NFL),Returned to the Practice Squad
12071,/players/nate-sudfeld-sudfena01,2021-12-31,San Francisco (NFL),Signed to the Active Roster from the Practice Squad
12070,/players/nate-sudfeld-sudfena01,2022-01-03,San Francisco (NFL),Returned to the Practice Squad
12069,/players/nate-sudfeld-sudfena01,2022-01-29,San Francisco (NFL),Signed to the Active Roster from the Practice Squad
12068,/players/nate-sudfeld-sudfena01,2022-01-31,San Francisco (NFL),Returned to the Practice Squad
12067,/players/nate-sudfeld-sudfena01,2022-03-10,San Francisco (NFL),Signed
12066,/players/nate-sudfeld-sudfena01,2022-08-30,San Francisco (NFL),Released
12065,/players/nate-sudfeld-sudfena01,2022-08-31,Detroit (NFL),Signed
12064,/players/nate-sudfeld-sudfena01,2023-03-24,Detroit (NFL),Re-signed
12063,/players/nate-sudfeld-sudfena01,2023-08-29,Detroit (NFL),Placed on Injured Reserve (Knee)
12062,/players/nate-sudfeld-sudfena01,2024-03-28,Detroit (NFL),Re-signed
15182,/players/nathan-peterman-peterna01,2017-05-24,Buffalo (NFL),Signed
15181,/players/nathan-peterman-peterna01,2018-11-13,Buffalo (NFL),Waived
15180,/players/nathan-peterman-peterna01,2018-12-19,Oakland (NFL),Signed to the Practice Squad
15179,/players/nathan-peterman-peterna01,2019-01-01,Oakland (NFL),Signed to a future contract
15178,/players/nathan-peterman-peterna01,2019-09-02,Oakland (NFL),Placed on Injured Reserve (Elbow)
15177,/players/nathan-peterman-peterna01,2020-04-16,Las Vegas (NFL),Re-signed
15176,/players/nathan-peterman-peterna01,2021-11-02,Las Vegas (NFL),Released
15175,/players/nathan-peterman-peterna01,2021-11-03,Las Vegas (NFL),Signed to the Practice Squad
15173,/players/nathan-peterman-peterna01,2021-12-27,Las Vegas (NFL),Signed to the Active Roster from the Practice Squad
15174,/players/nathan-peterman-peterna01,2021-12-27,Las Vegas (NFL),Returned to the Practice Squad
15172,/players/nathan-peterman-peterna01,2022-05-11,Chicago (NFL),Signed
15171,/players/nathan-peterman-peterna01,2022-08-30,Chicago (NFL),Released
15170,/players/nathan-peterman-peterna01,2022-08-31,Chicago (NFL),Signed to the Practice Squad
15169,/players/nathan-peterman-peterna01,2022-11-26,Chicago (NFL),Signed to the Active Roster from the Practice Squad
15168,/players/nathan-peterman-peterna01,2022-11-28,Chicago (NFL),Returned to the Practice Squad
15167,/players/nathan-peterman-peterna01,2022-12-03,Chicago (NFL),Signed
15166,/players/nathan-peterman-peterna01,2023-03-31,Chicago (NFL),Re-signed
15165,/players/nathan-peterman-peterna01,2023-08-29,Chicago (NFL),Released
15164,/players/nathan-peterman-peterna01,2023-08-31,Chicago (NFL),Signed
15163,/players/nathan-peterman-peterna01,2023-09-20,Chicago (NFL),Released
15162,/players/nathan-peterman-peterna01,2023-09-21,Chicago (NFL),Signed
15161,/players/nathan-peterman-peterna01,2023-10-05,Chicago (NFL),Released
15160,/players/nathan-peterman-peterna01,2023-10-09,Chicago (NFL),Signed to the Practice Squad
15159,/players/nathan-peterman-peterna01,2023-10-13,Chicago (NFL),Signed to the Active Roster from the Practice Squad
15158,/players/nathan-peterman-peterna01,2024-03-18,New Orleans (NFL),Signed
17131,/players/nathan-shepherd-shephna01,2018-05-18,NY Jets (NFL),Signed
17130,/players/nathan-shepherd-shephna01,2019-09-10,NY Jets (NFL),Placed on the Reserve/Suspended List
17129,/players/nathan-shepherd-shephna01,2019-11-01,NY Jets (NFL),Activated from the Reserve/Suspended List
17128,/players/nathan-shepherd-shephna01,2022-03-16,NY Jets (NFL),Re-signed
17127,/players/nathan-shepherd-shephna01,2023-03-18,New Orleans (NFL),Signed
24741,/players/nathan-stanley-stanlna02,2020-07-13,Minnesota (NFL),Signed
24740,/players/nathan-stanley-stanlna02,2020-09-05,Minnesota (NFL),Waived
24739,/players/nathan-stanley-stanlna02,2020-09-06,Minnesota (NFL),Signed to the Practice Squad
24738,/players/nathan-stanley-stanlna02,2021-01-04,Minnesota (NFL),Signed to a future contract
24737,/players/nathan-stanley-stanlna02,2021-08-01,Minnesota (NFL),Placed on COVID-19 List
24736,/players/nathan-stanley-stanlna02,2021-08-05,Minnesota (NFL),Activated from the Reserve/COVID-19 List
24735,/players/nathan-stanley-stanlna02,2021-08-31,Minnesota (NFL),Waived (injured)
24734,/players/nathan-stanley-stanlna02,2021-09-01,Minnesota (NFL),Placed on Injured Reserve (Undisclosed)
24733,/players/nathan-stanley-stanlna02,2022-07-19,Minnesota (NFL),Waived
27575,/players/nathaniel-dell-dellna01,2023-05-16,Houston (NFL),Signed
27574,/players/nathaniel-dell-dellna01,2023-12-05,Houston (NFL),Placed on Injured Reserve (Leg)
18175,/players/natrell-jamerson-jamerna01,2018-05-11,New Orleans (NFL),Signed
18174,/players/natrell-jamerson-jamerna01,2018-09-01,New Orleans (NFL),Waived
18173,/players/natrell-jamerson-jamerna01,2018-09-02,Houston (NFL),Acquired via waivers (from the New Orleans Saints)
18172,/players/natrell-jamerson-jamerna01,2018-12-04,Houston (NFL),Waived
18171,/players/natrell-jamerson-jamerna01,2018-12-05,Green Bay (NFL),Acquired via waivers (from the Houston Texans)
18170,/players/natrell-jamerson-jamerna01,2019-08-31,Green Bay (NFL),Waived
18169,/players/natrell-jamerson-jamerna01,2019-09-01,Carolina (NFL),Acquired via waivers (from the Green Bay Packers)
18168,/players/natrell-jamerson-jamerna01,2019-10-22,Carolina (NFL),Placed on Injured Reserve (Foot)
18167,/players/natrell-jamerson-jamerna01,2020-09-05,Carolina (NFL),Waived
18166,/players/natrell-jamerson-jamerna01,2020-09-06,Carolina (NFL),Signed to the Practice Squad
18165,/players/natrell-jamerson-jamerna01,2020-09-09,Carolina (NFL),Placed on Practice Squad/COVID-19 List
18164,/players/natrell-jamerson-jamerna01,2020-09-29,Carolina (NFL),Restored to the Practice Squad
18163,/players/natrell-jamerson-jamerna01,2020-10-29,Carolina (NFL),Signed to the Active Roster from the Practice Squad
18162,/players/natrell-jamerson-jamerna01,2020-11-21,Carolina (NFL),Signed to the Active Roster from the Practice Squad
18161,/players/natrell-jamerson-jamerna01,2020-11-23,Carolina (NFL),Returned to the Practice Squad
18160,/players/natrell-jamerson-jamerna01,2020-11-28,Carolina (NFL),Signed to the Active Roster from the Practice Squad
18159,/players/natrell-jamerson-jamerna01,2020-11-30,Carolina (NFL),Returned to the Practice Squad
18158,/players/natrell-jamerson-jamerna01,2020-12-11,Carolina (NFL),Signed to the Active Roster from the Practice Squad
18157,/players/natrell-jamerson-jamerna01,2021-02-12,Carolina (NFL),Waived
18156,/players/natrell-jamerson-jamerna01,2021-08-18,New Orleans (NFL),Signed
18155,/players/natrell-jamerson-jamerna01,2021-08-31,New Orleans (NFL),Waived
18154,/players/natrell-jamerson-jamerna01,2021-10-06,NY Jets (NFL),Signed to the Practice Squad
18153,/players/natrell-jamerson-jamerna01,2021-10-28,NY Jets (NFL),Released from the Practice Squad
18152,/players/natrell-jamerson-jamerna01,2021-11-02,NY Jets (NFL),Signed to the Practice Squad
18151,/players/natrell-jamerson-jamerna01,2021-11-25,NY Jets (NFL),Released from the Practice Squad
18150,/players/natrell-jamerson-jamerna01,2021-12-06,NY Giants (NFL),Signed to the Practice Squad
18149,/players/natrell-jamerson-jamerna01,2021-12-17,NY Giants (NFL),Placed on Practice Squad/COVID-19 List
18148,/players/natrell-jamerson-jamerna01,2021-12-25,NY Giants (NFL),Restored to the Practice Squad
18147,/players/natrell-jamerson-jamerna01,2022-01-18,Las Vegas (NFL),Signed to a future contract
18146,/players/natrell-jamerson-jamerna01,2022-03-25,Las Vegas (NFL),Released
18145,/players/natrell-jamerson-jamerna01,2022-04-18,Calgary (CFL),Signed
18144,/players/natrell-jamerson-jamerna01,2022-05-30,Calgary (CFL),Released
18143,/players/natrell-jamerson-jamerna01,2022-08-02,Calgary (CFL),Signed to the Practice Squad
18142,/players/natrell-jamerson-jamerna01,2022-08-17,Calgary (CFL),Signed to the Active Roster from the Practice Squad
18141,/players/natrell-jamerson-jamerna01,2022-09-09,Calgary (CFL),Placed on Injured Reserve
18140,/players/natrell-jamerson-jamerna01,2022-10-28,Calgary (CFL),Activated from Injured Reserve
18139,/players/natrell-jamerson-jamerna01,2023-06-08,Calgary (CFL),Placed on Injured Reserve
18138,/players/natrell-jamerson-jamerna01,2023-06-23,Calgary (CFL),Activated from Injured Reserve
18137,/players/natrell-jamerson-jamerna01,2023-07-06,Calgary (CFL),Signed to the Practice Squad
18136,/players/natrell-jamerson-jamerna01,2023-07-14,Calgary (CFL),Signed to the Active Roster from the Practice Squad
18135,/players/natrell-jamerson-jamerna01,2023-07-29,Calgary (CFL),Placed on Injured Reserve
14210,/players/nazair-jones-jonesna04,2017-05-19,Seattle (NFL),Signed
14209,/players/nazair-jones-jonesna04,2017-12-30,Seattle (NFL),Placed on Injured Reserve (Ankle)
14208,/players/nazair-jones-jonesna04,2019-08-27,Seattle (NFL),Placed on Injured Reserve (Knee)
14207,/players/nazair-jones-jonesna04,2020-05-04,Seattle (NFL),Waived
14206,/players/nazair-jones-jonesna04,2021-06-22,Buffalo (NFL),Signed
14205,/players/nazair-jones-jonesna04,2021-07-16,Buffalo (NFL),Waived
27476,/players/nazeeh-johnson-johnsna05,2022-05-09,Kansas City (NFL),Signed
27475,/players/nazeeh-johnson-johnsna05,2022-08-30,Kansas City (NFL),Waived
27474,/players/nazeeh-johnson-johnsna05,2022-08-31,Kansas City (NFL),Signed to the Practice Squad
27473,/players/nazeeh-johnson-johnsna05,2022-09-28,Kansas City (NFL),Signed to the Active Roster from the Practice Squad
27472,/players/nazeeh-johnson-johnsna05,2023-07-30,Kansas City (NFL),Placed on Injured Reserve (Knee)
27471,/players/nazeeh-johnson-johnsna05,2024-04-09,Kansas City (NFL),Re-signed
8997,/players/neal-sterling-sterlne01,2015-05-13,Jacksonville (NFL),Signed
8996,/players/neal-sterling-sterlne01,2015-09-04,Jacksonville (NFL),Waived
8995,/players/neal-sterling-sterlne01,2015-09-06,Jacksonville (NFL),Signed to the Practice Squad
8994,/players/neal-sterling-sterlne01,2015-10-20,Jacksonville (NFL),Signed to the Active Roster from the Practice Squad
8993,/players/neal-sterling-sterlne01,2017-09-03,Jacksonville (NFL),Waived
8992,/players/neal-sterling-sterlne01,2017-09-06,NY Jets (NFL),Signed
8991,/players/neal-sterling-sterlne01,2017-10-05,NY Jets (NFL),Waived
8990,/players/neal-sterling-sterlne01,2017-10-07,Kansas City (NFL),Signed to the Practice Squad
8989,/players/neal-sterling-sterlne01,2017-10-25,NY Jets (NFL),Signed from the Kansas City Chiefs practice squad
8988,/players/neal-sterling-sterlne01,2018-04-16,NY Jets (NFL),Re-signed
8987,/players/neal-sterling-sterlne01,2018-11-10,NY Jets (NFL),Placed on Injured Reserve (Concussion)
8986,/players/neal-sterling-sterlne01,2019-03-25,NY Jets (NFL),Re-signed
8985,/players/neal-sterling-sterlne01,2019-06-11,NY Jets (NFL),Released
8984,/players/neal-sterling-sterlne01,2019-06-13,Kansas City (NFL),Signed
8983,/players/neal-sterling-sterlne01,2019-07-24,Kansas City (NFL),Released
26913,/players/neil-farrell-farrene01,2022-06-13,Las Vegas (NFL),Signed
26912,/players/neil-farrell-farrene01,2023-08-29,Las Vegas (NFL),Traded to the Kansas City Chiefs
8210,/players/neiron-ball-ballne01,2015-05-21,Oakland (NFL),Signed
8209,/players/neiron-ball-ballne01,2015-12-12,Oakland (NFL),Placed on Injured Reserve (Knee)
8208,/players/neiron-ball-ballne01,2016-09-03,Oakland (NFL),Waived (injured)
8207,/players/neiron-ball-ballne01,2016-09-04,Oakland (NFL),Placed on Injured Reserve (Undisclosed)
8206,/players/neiron-ball-ballne01,2017-07-07,Oakland (NFL),Waived
6353,/players/nelson-agholor-agholne01,2015-05-07,Philadelphia (NFL),Signed
6352,/players/nelson-agholor-agholne01,2020-03-25,Las Vegas (NFL),Signed
6351,/players/nelson-agholor-agholne01,2021-03-19,New England (NFL),Signed
6350,/players/nelson-agholor-agholne01,2023-03-29,Baltimore (NFL),Signed
27850,/players/nesta-jade-silvera-silvene01,2023-05-12,Las Vegas (NFL),Signed
27849,/players/nesta-jade-silvera-silvene01,2023-12-20,Las Vegas (NFL),Waived
27848,/players/nesta-jade-silvera-silvene01,2023-12-22,Las Vegas (NFL),Signed to the Practice Squad
27847,/players/nesta-jade-silvera-silvene01,2024-01-08,Las Vegas (NFL),Signed to a future contract
24048,/players/netane-muti-mutine01,2020-07-27,Denver (NFL),Signed
24047,/players/netane-muti-mutine01,2021-10-26,Denver (NFL),Placed on COVID-19 List
24046,/players/netane-muti-mutine01,2021-11-09,Denver (NFL),Activated from the Reserve/COVID-19 List
24045,/players/netane-muti-mutine01,2022-08-30,Denver (NFL),Waived
24044,/players/netane-muti-mutine01,2022-08-31,Denver (NFL),Signed to the Practice Squad
24043,/players/netane-muti-mutine01,2022-09-17,Denver (NFL),Signed to the Active Roster from the Practice Squad
24042,/players/netane-muti-mutine01,2022-09-19,Denver (NFL),Returned to the Practice Squad
24041,/players/netane-muti-mutine01,2022-10-01,Denver (NFL),Signed to the Active Roster from the Practice Squad
24040,/players/netane-muti-mutine01,2022-10-03,Denver (NFL),Returned to the Practice Squad
24039,/players/netane-muti-mutine01,2022-12-10,Denver (NFL),Signed to the Active Roster from the Practice Squad
24038,/players/netane-muti-mutine01,2022-12-12,Denver (NFL),Returned to the Practice Squad
