player,1,2,3,4,5,6,7,8,9
Brian Mihalik,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,,
Brian O'Neill,Healthy,Healthy,Healthy,Healthy,,,,,
Brian Schwenke,,Knee,Ankle,Healthy,Healthy,Foot,Healthy,Healthy,
Brian Winters,,Knee,Healthy,Shoulder,Abdomen,Healthy,Shoulder,Healthy,
Brice Butler,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Brock Vereen,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Broderick Washington,Healthy,Healthy,,,,,,,
Bronson Kaufusi,Ankle,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Bruce Ellington,Healthy,Healthy,Hamstring,Hamstring,Hamstring,Healthy,Healthy,Healthy,
Bryan Edwards,Healthy,Healthy,,,,,,,
Bryan Stork,Healthy,Designated for Return,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Bryce Hager,Healthy,Healthy,Healthy,Healthy,Shoulder,Healthy,Healthy,,
Bryce Hall,Healthy,Healthy,,,,,,,
Bryce Love,Healthy,Knee,Healthy,,,,,,
Bryce Petty,Healthy,Shoulder,Healthy,Oblique,Healthy,Healthy,Healthy,,
Brycen Hopkins,Healthy,Healthy,,,,,,,
Bucky Hodges,Concussion,Healthy,Undisclosed,Healthy,Healthy,,,,
Bud Sasser,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Budda Baker,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
Buddy Johnson,Healthy,,,,,,,,
Byron Cowart,Healthy,Healthy,Undisclosed,,,,,,
Byron Jones,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Byron Murphy,Healthy,Healthy,Healthy,,,,,,
C.J. Beathard,Healthy,Healthy,Healthy,Healthy,Healthy,,,,
C.J. Fiedorowicz,Healthy,Healthy,Healthy,Concussion,Healthy,Healthy,Healthy,Healthy,
C.J. Henderson,Groin,Healthy,,,,,,,
C.J. Mosley,Healthy,Healthy,Healthy,Healthy,Healthy,Groin,Healthy,Healthy,
C.J. Prosise,Healthy,Ankle,Abdomen,Arm,Healthy,Healthy,,,
C.J. Uzomah,Healthy,Healthy,Healthy,Healthy,Healthy,Achilles,Healthy,,
Caden Sterns,Healthy,,,,,,,,
Caleb Benenoch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Caleb Brantley,Healthy,Healthy,Foot,Healthy,Healthy,,,,
Caleb Farley,Knee,,,,,,,,
Caleb Sturgis,,Healthy,Healthy,Healthy,Hip,Healthy,Healthy,Healthy,
Caleb Wilson,Healthy,Healthy,Healthy,,,,,,
Calvin Pryor,Healthy,Healthy,Healthy,Ankle,Healthy,Healthy,Healthy,Healthy,
Calvin Ridley,Healthy,Abdomen,Healthy,Healthy,,,,,
Cam Akers,Healthy,Healthy,,,,,,,
Cam Brown,Healthy,Hamstring,,,,,,,
Cam Robinson,Healthy,Knee,Healthy,Healthy,Healthy,,,,
Camaron Cheeseman,Healthy,,,,,,,,
Cameron Artis-Payne,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,
Cameron Clark,Shoulder,Spine,,,,,,,
Cameron Dantzler,Healthy,Healthy,,,,,,,
Cameron Erving,Healthy,Healthy,Healthy,Healthy,Healthy,Knee,Calf,,
Cameron Fleming,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Cameron McGrone,Healthy,,,,,,,,
Cameron Sample,Healthy,,,,,,,,
Cameron Smith,Healthy,Healthy,Healthy,,,,,,
Cameron Sutton,Hamstring,Healthy,Healthy,Healthy,Healthy,,,,
Camryn Bynum,Healthy,,,,,,,,
Caraun Reid,Healthy,Healthy,Knee,Healthy,Healthy,Healthy,Healthy,Healthy,
Cardale Jones,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
Carl Bradford,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,
Carl Davis,Healthy,Ankle,Healthy,Healthy,Healthy,Concussion,Healthy,,
Carl Lawson,Healthy,Knee,Healthy,Healthy,Achilles,,,,
Carl Nassib,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,,,
