player|position|injury|practice_status|game_status|team|gamedate|year
Clyde Gates |WR|Knee|Did Not Participate In Practice|Questionable|Falcons|TUESDAY, OCTOBER 8TH|2013
Santonio Holmes |WR|Foot, Hamstring|Did Not Participate In Practice|Out|Falcons|TUESDAY, OCTOBER 8TH|2013
Mike Goodson |RB|Hamstring|Limited Participation in Practice|Probable|Falcons|TUESDAY, OCTOBER 8TH|2013
Geno Smith |QB|Ankle|Full Participation in Practice|Probable|Falcons|TUESDAY, OCTOBER 8TH|2013
David Wilson |RB|Neck||Out|Giants|FRIDAY, OCTOBER 11TH|2013
Brandon Myers |TE|Ankle|Limited Participation in Practice|Questionable|Giants|FRIDAY, OCTOBER 11TH|2013
Adrien Robinson |TE|Foot|Did Not Participate In Practice|Out|Giants|FRIDAY, OCTOBER 11TH|2013
Louis Murphy |WR|Ankle|Limited Participation in Practice|Questionable|Giants|FRIDAY, OCTOBER 11TH|2013
David Wilson |RB|Neck||Out|Bears|FRIDAY, OCTOBER 11TH|2013
Brandon Myers |TE|Ankle|Limited Participation in Practice|Questionable|Bears|FRIDAY, OCTOBER 11TH|2013
Adrien Robinson |TE|Foot|Did Not Participate In Practice|Out|Bears|FRIDAY, OCTOBER 11TH|2013
Louis Murphy |WR|Ankle|Limited Participation in Practice|Questionable|Bears|FRIDAY, OCTOBER 11TH|2013
Tony Scheffler |TE|Concussion|Did Not Participate In Practice|Out|Lions|FRIDAY, OCTOBER 11TH|2013
Theo Riddick |RB|Concussion|Did Not Participate In Practice|Out|Lions|FRIDAY, OCTOBER 11TH|2013
Nate Burleson |WR|Forearm||Out|Lions|FRIDAY, OCTOBER 11TH|2013
Calvin Johnson |WR|Knee|Limited Participation in Practice|Questionable|Lions|FRIDAY, OCTOBER 11TH|2013
Tony Scheffler |TE|Concussion|Did Not Participate In Practice|Out|Browns|FRIDAY, OCTOBER 11TH|2013
Theo Riddick |RB|Concussion|Did Not Participate In Practice|Out|Browns|FRIDAY, OCTOBER 11TH|2013
Nate Burleson |WR|Forearm||Out|Browns|FRIDAY, OCTOBER 11TH|2013
Calvin Johnson |WR|Knee|Limited Participation in Practice|Questionable|Browns|FRIDAY, OCTOBER 11TH|2013
Ben Roethlisberger |QB|Right Finger|Full Participation in Practice|Probable|Steelers|FRIDAY, OCTOBER 11TH|2013
Markus Wheaton |WR|Finger||Out|Steelers|FRIDAY, OCTOBER 11TH|2013
Heath Miller |TE|Not Injury Related|Full Participation in Practice|Probable|Steelers|FRIDAY, OCTOBER 11TH|2013
Ben Roethlisberger |QB|Right Finger|Full Participation in Practice|Probable|Jets|FRIDAY, OCTOBER 11TH|2013
Markus Wheaton |WR|Finger||Out|Jets|FRIDAY, OCTOBER 11TH|2013
Heath Miller |TE|Not Injury Related|Full Participation in Practice|Probable|Jets|FRIDAY, OCTOBER 11TH|2013
Greg Olsen |TE|Foot|Full Participation in Practice|Probable|Panthers|FRIDAY, OCTOBER 11TH|2013
Kenjon Barner |RB|Foot|Did Not Participate In Practice|Doubtful|Panthers|FRIDAY, OCTOBER 11TH|2013
Greg Olsen |TE|Foot|Full Participation in Practice|Probable|Vikings|FRIDAY, OCTOBER 11TH|2013
Kenjon Barner |RB|Foot|Did Not Participate In Practice|Doubtful|Vikings|FRIDAY, OCTOBER 11TH|2013
Zac Stacy |RB|Chest|Full Participation in Practice|Questionable|Rams|FRIDAY, OCTOBER 11TH|2013
Zac Stacy |RB|Chest|Full Participation in Practice|Questionable|Texans|FRIDAY, OCTOBER 11TH|2013
Mike Vick |QB|Hamstring|Full Participation in Practice|Questionable|Eagles|FRIDAY, OCTOBER 11TH|2013
James Casey |TE|Groin|Full Participation in Practice|Questionable|Eagles|FRIDAY, OCTOBER 11TH|2013
Chris Polk |RB|Ankle|Full Participation in Practice|Probable|Eagles|FRIDAY, OCTOBER 11TH|2013
Nick Foles |QB|Groin|Full Participation in Practice|Probable|Eagles|FRIDAY, OCTOBER 11TH|2013
Mike Vick |QB|Hamstring|Full Participation in Practice|Questionable|Buccaneers|FRIDAY, OCTOBER 11TH|2013
James Casey |TE|Groin|Full Participation in Practice|Questionable|Buccaneers|FRIDAY, OCTOBER 11TH|2013
Chris Polk |RB|Ankle|Full Participation in Practice|Probable|Buccaneers|FRIDAY, OCTOBER 11TH|2013
Nick Foles |QB|Groin|Full Participation in Practice|Probable|Buccaneers|FRIDAY, OCTOBER 11TH|2013
Marcel Reece |RB|Knee|Limited Participation in Practice|Probable|Raiders|FRIDAY, OCTOBER 11TH|2013
Darren McFadden |RB|Hamstring|Limited Participation in Practice|Questionable|Raiders|FRIDAY, OCTOBER 11TH|2013
Rashad Jennings |RB|Hamstring|Limited Participation in Practice|Questionable|Raiders|FRIDAY, OCTOBER 11TH|2013
Marcel Reece |RB|Knee|Limited Participation in Practice|Probable|Chiefs|FRIDAY, OCTOBER 11TH|2013
Darren McFadden |RB|Hamstring|Limited Participation in Practice|Questionable|Chiefs|FRIDAY, OCTOBER 11TH|2013
Rashad Jennings |RB|Hamstring|Limited Participation in Practice|Questionable|Chiefs|FRIDAY, OCTOBER 11TH|2013
James Starks |RB|Knee||Out|Packers|FRIDAY, OCTOBER 11TH|2013
James Starks |RB|Knee||Out|Ravens|FRIDAY, OCTOBER 11TH|2013
Shonn Greene |RB|Knee|Did Not Participate In Practice|Out|Titans|FRIDAY, OCTOBER 11TH|2013
Jackie Battle |RB|Neck|Full Participation in Practice|Probable|Titans|FRIDAY, OCTOBER 11TH|2013
Jake Locker |QB|Hip, Knee|Did Not Participate In Practice|Out|Titans|FRIDAY, OCTOBER 11TH|2013
Shonn Greene |RB|Knee|Did Not Participate In Practice|Out|Seahawks|FRIDAY, OCTOBER 11TH|2013
Jackie Battle |RB|Neck|Full Participation in Practice|Probable|Seahawks|FRIDAY, OCTOBER 11TH|2013
Jake Locker |QB|Hip, Knee|Did Not Participate In Practice|Out|Seahawks|FRIDAY, OCTOBER 11TH|2013
Blaine Gabbert |QB|Hamstring|Did Not Participate In Practice|Out|Jaguars|FRIDAY, OCTOBER 11TH|2013
Stephen Burton |WR|Concussion|Did Not Participate In Practice|Out|Jaguars|FRIDAY, OCTOBER 11TH|2013
Marcedes Lewis |TE|Calf|Did Not Participate In Practice|Out|Jaguars|FRIDAY, OCTOBER 11TH|2013
Mike Brown |WR|Back|Limited Participation in Practice|Probable|Jaguars|FRIDAY, OCTOBER 11TH|2013
Cecil Shorts |WR|Groin|Limited Participation in Practice|Probable|Jaguars|FRIDAY, OCTOBER 11TH|2013
Blaine Gabbert |QB|Hamstring|Did Not Participate In Practice|Out|Broncos|FRIDAY, OCTOBER 11TH|2013
Stephen Burton |WR|Concussion|Did Not Participate In Practice|Out|Broncos|FRIDAY, OCTOBER 11TH|2013
Marcedes Lewis |TE|Calf|Did Not Participate In Practice|Out|Broncos|FRIDAY, OCTOBER 11TH|2013
Mike Brown |WR|Back|Limited Participation in Practice|Probable|Broncos|FRIDAY, OCTOBER 11TH|2013
Cecil Shorts |WR|Groin|Limited Participation in Practice|Probable|Broncos|FRIDAY, OCTOBER 11TH|2013
Mark Ingram |RB|Toe|Limited Participation in Practice|Questionable|Saints|FRIDAY, OCTOBER 11TH|2013
Lance Moore |WR|Hand|Did Not Participate In Practice|Questionable|Saints|FRIDAY, OCTOBER 11TH|2013
Mark Ingram |RB|Toe|Limited Participation in Practice|Questionable|Patriots|FRIDAY, OCTOBER 11TH|2013
Lance Moore |WR|Hand|Did Not Participate In Practice|Questionable|Patriots|FRIDAY, OCTOBER 11TH|2013
Larry Fitzgerald |WR|Hamstring|Full Participation in Practice|Questionable|Cardinals|FRIDAY, OCTOBER 11TH|2013
Larry Fitzgerald |WR|Hamstring|Full Participation in Practice|Questionable|Niners|FRIDAY, OCTOBER 11TH|2013
Logan Paulsen |TE|Knee|Limited Participation in Practice|Questionable|Redskins|FRIDAY, OCTOBER 11TH|2013
Jordan Reed |TE|Thigh|Full Participation in Practice|Probable|Redskins|FRIDAY, OCTOBER 11TH|2013
Alfred Morris |RB|Ribs|Full Participation in Practice|Probable|Redskins|FRIDAY, OCTOBER 11TH|2013
Fred Davis |TE|Ankle|Full Participation in Practice|Probable|Redskins|FRIDAY, OCTOBER 11TH|2013
Logan Paulsen |TE|Knee|Limited Participation in Practice|Questionable|Cowboys|FRIDAY, OCTOBER 11TH|2013
Jordan Reed |TE|Thigh|Full Participation in Practice|Probable|Cowboys|FRIDAY, OCTOBER 11TH|2013
Alfred Morris |RB|Ribs|Full Participation in Practice|Probable|Cowboys|FRIDAY, OCTOBER 11TH|2013
Fred Davis |TE|Ankle|Full Participation in Practice|Probable|Cowboys|FRIDAY, OCTOBER 11TH|2013
Stanley Havili |RB|Ankle|Full Participation in Practice|Probable|Colts|FRIDAY, OCTOBER 11TH|2013
Stanley Havili |RB|Ankle|Full Participation in Practice|Probable|Chargers|FRIDAY, OCTOBER 11TH|2013
Tony Scheffler |TE|Concussion|Did Not Participate In Practice|Out|Lions|SUNDAY, OCTOBER 13TH|2013
Theo Riddick |RB|Concussion|Did Not Participate In Practice|Out|Lions|SUNDAY, OCTOBER 13TH|2013
Nate Burleson |WR|Forearm||Out|Lions|SUNDAY, OCTOBER 13TH|2013
Calvin Johnson |WR|Knee|Limited Participation in Practice|Questionable|Lions|SUNDAY, OCTOBER 13TH|2013
Tony Scheffler |TE|Concussion|Did Not Participate In Practice|Out|Browns|SUNDAY, OCTOBER 13TH|2013
Theo Riddick |RB|Concussion|Did Not Participate In Practice|Out|Browns|SUNDAY, OCTOBER 13TH|2013
Nate Burleson |WR|Forearm||Out|Browns|SUNDAY, OCTOBER 13TH|2013
Calvin Johnson |WR|Knee|Limited Participation in Practice|Questionable|Browns|SUNDAY, OCTOBER 13TH|2013
Ben Roethlisberger |QB|Right Finger|Full Participation in Practice|Probable|Steelers|SUNDAY, OCTOBER 13TH|2013
Markus Wheaton |WR|Finger||Out|Steelers|SUNDAY, OCTOBER 13TH|2013
Heath Miller |TE|Not Injury Related|Full Participation in Practice|Probable|Steelers|SUNDAY, OCTOBER 13TH|2013
Ben Roethlisberger |QB|Right Finger|Full Participation in Practice|Probable|Jets|SUNDAY, OCTOBER 13TH|2013
Markus Wheaton |WR|Finger||Out|Jets|SUNDAY, OCTOBER 13TH|2013
Heath Miller |TE|Not Injury Related|Full Participation in Practice|Probable|Jets|SUNDAY, OCTOBER 13TH|2013
Greg Olsen |TE|Foot|Full Participation in Practice|Probable|Panthers|SUNDAY, OCTOBER 13TH|2013
Kenjon Barner |RB|Foot|Did Not Participate In Practice|Doubtful|Panthers|SUNDAY, OCTOBER 13TH|2013
Greg Olsen |TE|Foot|Full Participation in Practice|Probable|Vikings|SUNDAY, OCTOBER 13TH|2013
Kenjon Barner |RB|Foot|Did Not Participate In Practice|Doubtful|Vikings|SUNDAY, OCTOBER 13TH|2013
Zac Stacy |RB|Chest|Full Participation in Practice|Questionable|Rams|SUNDAY, OCTOBER 13TH|2013
Zac Stacy |RB|Chest|Full Participation in Practice|Questionable|Texans|SUNDAY, OCTOBER 13TH|2013
Mike Vick |QB|Hamstring|Full Participation in Practice|Questionable|Eagles|SUNDAY, OCTOBER 13TH|2013
James Casey |TE|Groin|Full Participation in Practice|Questionable|Eagles|SUNDAY, OCTOBER 13TH|2013
Chris Polk |RB|Ankle|Full Participation in Practice|Probable|Eagles|SUNDAY, OCTOBER 13TH|2013
Nick Foles |QB|Groin|Full Participation in Practice|Probable|Eagles|SUNDAY, OCTOBER 13TH|2013
Mike Vick |QB|Hamstring|Full Participation in Practice|Questionable|Buccaneers|SUNDAY, OCTOBER 13TH|2013
James Casey |TE|Groin|Full Participation in Practice|Questionable|Buccaneers|SUNDAY, OCTOBER 13TH|2013
Chris Polk |RB|Ankle|Full Participation in Practice|Probable|Buccaneers|SUNDAY, OCTOBER 13TH|2013
Nick Foles |QB|Groin|Full Participation in Practice|Probable|Buccaneers|SUNDAY, OCTOBER 13TH|2013
Marcel Reece |RB|Knee|Limited Participation in Practice|Probable|Raiders|SUNDAY, OCTOBER 13TH|2013
Darren McFadden |RB|Hamstring|Limited Participation in Practice|Questionable|Raiders|SUNDAY, OCTOBER 13TH|2013
Rashad Jennings |RB|Hamstring|Limited Participation in Practice|Questionable|Raiders|SUNDAY, OCTOBER 13TH|2013
Marcel Reece |RB|Knee|Limited Participation in Practice|Probable|Chiefs|SUNDAY, OCTOBER 13TH|2013
Darren McFadden |RB|Hamstring|Limited Participation in Practice|Questionable|Chiefs|SUNDAY, OCTOBER 13TH|2013
Rashad Jennings |RB|Hamstring|Limited Participation in Practice|Questionable|Chiefs|SUNDAY, OCTOBER 13TH|2013
James Starks |RB|Knee||Out|Packers|SUNDAY, OCTOBER 13TH|2013
James Starks |RB|Knee||Out|Ravens|SUNDAY, OCTOBER 13TH|2013
Shonn Greene |RB|Knee|Did Not Participate In Practice|Out|Titans|SUNDAY, OCTOBER 13TH|2013
Jackie Battle |RB|Neck|Full Participation in Practice|Probable|Titans|SUNDAY, OCTOBER 13TH|2013
Jake Locker |QB|Hip, Knee|Did Not Participate In Practice|Out|Titans|SUNDAY, OCTOBER 13TH|2013
Shonn Greene |RB|Knee|Did Not Participate In Practice|Out|Seahawks|SUNDAY, OCTOBER 13TH|2013
Jackie Battle |RB|Neck|Full Participation in Practice|Probable|Seahawks|SUNDAY, OCTOBER 13TH|2013
Jake Locker |QB|Hip, Knee|Did Not Participate In Practice|Out|Seahawks|SUNDAY, OCTOBER 13TH|2013
Blaine Gabbert |QB|Hamstring|Did Not Participate In Practice|Out|Jaguars|SUNDAY, OCTOBER 13TH|2013
Stephen Burton |WR|Concussion|Did Not Participate In Practice|Out|Jaguars|SUNDAY, OCTOBER 13TH|2013
Marcedes Lewis |TE|Calf|Did Not Participate In Practice|Out|Jaguars|SUNDAY, OCTOBER 13TH|2013
Mike Brown |WR|Back|Limited Participation in Practice|Probable|Jaguars|SUNDAY, OCTOBER 13TH|2013
Cecil Shorts |WR|Groin|Limited Participation in Practice|Probable|Jaguars|SUNDAY, OCTOBER 13TH|2013
Blaine Gabbert |QB|Hamstring|Did Not Participate In Practice|Out|Broncos|SUNDAY, OCTOBER 13TH|2013
Stephen Burton |WR|Concussion|Did Not Participate In Practice|Out|Broncos|SUNDAY, OCTOBER 13TH|2013
Marcedes Lewis |TE|Calf|Did Not Participate In Practice|Out|Broncos|SUNDAY, OCTOBER 13TH|2013
Mike Brown |WR|Back|Limited Participation in Practice|Probable|Broncos|SUNDAY, OCTOBER 13TH|2013
Cecil Shorts |WR|Groin|Limited Participation in Practice|Probable|Broncos|SUNDAY, OCTOBER 13TH|2013
Mark Ingram |RB|Toe|Limited Participation in Practice|Questionable|Saints|SUNDAY, OCTOBER 13TH|2013
Lance Moore |WR|Hand|Did Not Participate In Practice|Questionable|Saints|SUNDAY, OCTOBER 13TH|2013
Mark Ingram |RB|Toe|Limited Participation in Practice|Questionable|Patriots|SUNDAY, OCTOBER 13TH|2013
Lance Moore |WR|Hand|Did Not Participate In Practice|Questionable|Patriots|SUNDAY, OCTOBER 13TH|2013
Larry Fitzgerald |WR|Hamstring|Full Participation in Practice|Questionable|Cardinals|SUNDAY, OCTOBER 13TH|2013
Larry Fitzgerald |WR|Hamstring|Full Participation in Practice|Questionable|Niners|SUNDAY, OCTOBER 13TH|2013
Logan Paulsen |TE|Knee|Limited Participation in Practice|Questionable|Redskins|SUNDAY, OCTOBER 13TH|2013
Jordan Reed |TE|Thigh|Full Participation in Practice|Probable|Redskins|SUNDAY, OCTOBER 13TH|2013
Alfred Morris |RB|Ribs|Full Participation in Practice|Probable|Redskins|SUNDAY, OCTOBER 13TH|2013
Fred Davis |TE|Ankle|Full Participation in Practice|Probable|Redskins|SUNDAY, OCTOBER 13TH|2013
Logan Paulsen |TE|Knee|Limited Participation in Practice|Questionable|Cowboys|SUNDAY, OCTOBER 13TH|2013
Jordan Reed |TE|Thigh|Full Participation in Practice|Probable|Cowboys|SUNDAY, OCTOBER 13TH|2013
Alfred Morris |RB|Ribs|Full Participation in Practice|Probable|Cowboys|SUNDAY, OCTOBER 13TH|2013
Fred Davis |TE|Ankle|Full Participation in Practice|Probable|Cowboys|SUNDAY, OCTOBER 13TH|2013
Stanley Havili |RB|Ankle|Full Participation in Practice|Probable|Colts|SUNDAY, OCTOBER 13TH|2013
Stanley Havili |RB|Ankle|Full Participation in Practice|Probable|Chargers|SUNDAY, OCTOBER 13TH|2013
Logan Paulsen |TE|Knee|Limited Participation in Practice|Questionable|Redskins|MONDAY, OCTOBER 14TH|2013
Jordan Reed |TE|Thigh|Full Participation in Practice|Probable|Redskins|MONDAY, OCTOBER 14TH|2013
Alfred Morris |RB|Ribs|Full Participation in Practice|Probable|Redskins|MONDAY, OCTOBER 14TH|2013
Fred Davis |TE|Ankle|Full Participation in Practice|Probable|Redskins|MONDAY, OCTOBER 14TH|2013
Logan Paulsen |TE|Knee|Limited Participation in Practice|Questionable|Cowboys|MONDAY, OCTOBER 14TH|2013
Jordan Reed |TE|Thigh|Full Participation in Practice|Probable|Cowboys|MONDAY, OCTOBER 14TH|2013
Alfred Morris |RB|Ribs|Full Participation in Practice|Probable|Cowboys|MONDAY, OCTOBER 14TH|2013
Fred Davis |TE|Ankle|Full Participation in Practice|Probable|Cowboys|MONDAY, OCTOBER 14TH|2013
Stanley Havili |RB|Ankle|Full Participation in Practice|Probable|Colts|MONDAY, OCTOBER 14TH|2013
Stanley Havili |RB|Ankle|Full Participation in Practice|Probable|Chargers|MONDAY, OCTOBER 14TH|2013
Stanley Havili |RB|Ankle|Full Participation in Practice|Probable|Colts|TUESDAY, OCTOBER 15TH|2013
Stanley Havili |RB|Ankle|Full Participation in Practice|Probable|Chargers|TUESDAY, OCTOBER 15TH|2013
Spencer Ware |RB|Ankle|Did Not Participate In Practice|Out|Seahawks|FRIDAY, OCTOBER 18TH|2013
Marshawn Lynch |RB|Hip|Limited Participation in Practice|Probable|Seahawks|FRIDAY, OCTOBER 18TH|2013
Zach Miller |TE|Hamstring|Full Participation in Practice|Probable|Seahawks|FRIDAY, OCTOBER 18TH|2013
Spencer Ware |RB|Ankle|Did Not Participate In Practice|Out|Cardinals|FRIDAY, OCTOBER 18TH|2013
Marshawn Lynch |RB|Hip|Limited Participation in Practice|Probable|Cardinals|FRIDAY, OCTOBER 18TH|2013
Zach Miller |TE|Hamstring|Full Participation in Practice|Probable|Cardinals|FRIDAY, OCTOBER 18TH|2013
Zac Stacy |RB|Chest|Full Participation in Practice|Probable|Rams|FRIDAY, OCTOBER 18TH|2013
Benny Cunningham |RB|Ankle|Did Not Participate In Practice|Out|Rams|FRIDAY, OCTOBER 18TH|2013
Zac Stacy |RB|Chest|Full Participation in Practice|Probable|Panthers|FRIDAY, OCTOBER 18TH|2013
Benny Cunningham |RB|Ankle|Did Not Participate In Practice|Out|Panthers|FRIDAY, OCTOBER 18TH|2013
BenJarvus Green-Ellis |RB||Did Not Participate In Practice||Bengals|FRIDAY, OCTOBER 18TH|2013
BenJarvus Green-Ellis |RB||Did Not Participate In Practice||Lions|FRIDAY, OCTOBER 18TH|2013
Martellus Bennett |TE|Knee|Limited Participation in Practice|Questionable|Bears|FRIDAY, OCTOBER 18TH|2013
Martellus Bennett |TE|Knee|Limited Participation in Practice|Questionable|Redskins|FRIDAY, OCTOBER 18TH|2013
Steve Johnson |WR|Back|Full Participation in Practice|Probable|Bills|FRIDAY, OCTOBER 18TH|2013
Thad Lewis |QB|Foot|Full Participation in Practice|Probable|Bills|FRIDAY, OCTOBER 18TH|2013
C.J. Spiller |RB|Ankle|Full Participation in Practice|Probable|Bills|FRIDAY, OCTOBER 18TH|2013
EJ Manuel |QB|Knee|Did Not Participate In Practice|Out|Bills|FRIDAY, OCTOBER 18TH|2013
Steve Johnson |WR|Back|Full Participation in Practice|Probable|Dolphins|FRIDAY, OCTOBER 18TH|2013
Thad Lewis |QB|Foot|Full Participation in Practice|Probable|Dolphins|FRIDAY, OCTOBER 18TH|2013
C.J. Spiller |RB|Ankle|Full Participation in Practice|Probable|Dolphins|FRIDAY, OCTOBER 18TH|2013
EJ Manuel |QB|Knee|Did Not Participate In Practice|Out|Dolphins|FRIDAY, OCTOBER 18TH|2013
DeMarco Murray |RB|Knee|Did Not Participate In Practice|Doubtful|Cowboys|FRIDAY, OCTOBER 18TH|2013
Dwayne Harris |WR|Hip|Full Participation in Practice|Probable|Cowboys|FRIDAY, OCTOBER 18TH|2013
Miles Austin |WR|Hamstring|Did Not Participate In Practice|Probable|Cowboys|FRIDAY, OCTOBER 18TH|2013
Lance Dunbar |RB|Hamstring|Did Not Participate In Practice|Out|Cowboys|FRIDAY, OCTOBER 18TH|2013
DeMarco Murray |RB|Knee|Did Not Participate In Practice|Doubtful|Eagles|FRIDAY, OCTOBER 18TH|2013
Dwayne Harris |WR|Hip|Full Participation in Practice|Probable|Eagles|FRIDAY, OCTOBER 18TH|2013
Miles Austin |WR|Hamstring|Did Not Participate In Practice|Probable|Eagles|FRIDAY, OCTOBER 18TH|2013
Lance Dunbar |RB|Hamstring|Did Not Participate In Practice|Out|Eagles|FRIDAY, OCTOBER 18TH|2013
Eddie Royal |WR|Toe|Did Not Participate In Practice|Questionable|Chargers|FRIDAY, OCTOBER 18TH|2013
Ronnie Brown |RB|Ankle|Full Participation in Practice|Probable|Chargers|FRIDAY, OCTOBER 18TH|2013
Eddie Royal |WR|Toe|Did Not Participate In Practice|Questionable|Jaguars|FRIDAY, OCTOBER 18TH|2013
Ronnie Brown |RB|Ankle|Full Participation in Practice|Probable|Jaguars|FRIDAY, OCTOBER 18TH|2013
Matthew Slater |WR|Wrist|Limited Participation in Practice|Questionable|Patriots|FRIDAY, OCTOBER 18TH|2013
Leon Washington |RB|Ankle|Did Not Participate In Practice|Out|Patriots|FRIDAY, OCTOBER 18TH|2013
Julian Edelman |WR|Thigh|Limited Participation in Practice|Questionable|Patriots|FRIDAY, OCTOBER 18TH|2013
Rob Gronkowski |TE|Back, Forearm|Limited Participation in Practice|Questionable|Patriots|FRIDAY, OCTOBER 18TH|2013
Brandon Bolden |RB|Knee|Limited Participation in Practice|Questionable|Patriots|FRIDAY, OCTOBER 18TH|2013
Michael Hoomanawanui |TE|Knee|Limited Participation in Practice|Questionable|Patriots|FRIDAY, OCTOBER 18TH|2013
Danny Amendola |WR|Concussion, Groin|Did Not Participate In Practice|Out|Patriots|FRIDAY, OCTOBER 18TH|2013
Matthew Slater |WR|Wrist|Limited Participation in Practice|Questionable|Jets|FRIDAY, OCTOBER 18TH|2013
Leon Washington |RB|Ankle|Did Not Participate In Practice|Out|Jets|FRIDAY, OCTOBER 18TH|2013
Julian Edelman |WR|Thigh|Limited Participation in Practice|Questionable|Jets|FRIDAY, OCTOBER 18TH|2013
Rob Gronkowski |TE|Back, Forearm|Limited Participation in Practice|Questionable|Jets|FRIDAY, OCTOBER 18TH|2013
Brandon Bolden |RB|Knee|Limited Participation in Practice|Questionable|Jets|FRIDAY, OCTOBER 18TH|2013
Michael Hoomanawanui |TE|Knee|Limited Participation in Practice|Questionable|Jets|FRIDAY, OCTOBER 18TH|2013
Danny Amendola |WR|Concussion, Groin|Did Not Participate In Practice|Out|Jets|FRIDAY, OCTOBER 18TH|2013
Mike Williams |WR|Hamstring|Full Participation in Practice|Questionable|Buccaneers|FRIDAY, OCTOBER 18TH|2013
Jeff Demps |RB|Groin||Out|Buccaneers|FRIDAY, OCTOBER 18TH|2013
Mike Williams |WR|Hamstring|Full Participation in Practice|Questionable|Falcons|FRIDAY, OCTOBER 18TH|2013
Jeff Demps |RB|Groin||Out|Falcons|FRIDAY, OCTOBER 18TH|2013
Quinton Patton |WR|Foot||Out|Niners|FRIDAY, OCTOBER 18TH|2013
Colin Kaepernick |QB|Foot|Full Participation in Practice|Probable|Niners|FRIDAY, OCTOBER 18TH|2013
Vernon Davis |TE|Hamstring|Full Participation in Practice|Probable|Niners|FRIDAY, OCTOBER 18TH|2013
Jon Baldwin |WR|Illness|Limited Participation in Practice|Questionable|Niners|FRIDAY, OCTOBER 18TH|2013
Quinton Patton |WR|Foot||Out|Titans|FRIDAY, OCTOBER 18TH|2013
Colin Kaepernick |QB|Foot|Full Participation in Practice|Probable|Titans|FRIDAY, OCTOBER 18TH|2013
Vernon Davis |TE|Hamstring|Full Participation in Practice|Probable|Titans|FRIDAY, OCTOBER 18TH|2013
Jon Baldwin |WR|Illness|Limited Participation in Practice|Questionable|Titans|FRIDAY, OCTOBER 18TH|2013
Keshawn Martin |WR|Shoulder|Limited Participation in Practice|Probable|Texans|FRIDAY, OCTOBER 18TH|2013
DeVier Posey |WR|Achilles|Full Participation in Practice|Probable|Texans|FRIDAY, OCTOBER 18TH|2013
Matt Schaub |QB|Ankle, Foot|Did Not Participate In Practice|Out|Texans|FRIDAY, OCTOBER 18TH|2013
Andre Johnson |WR|Shin|Full Participation in Practice|Probable|Texans|FRIDAY, OCTOBER 18TH|2013
Arian Foster |RB|Thumb, Chest/Hamstring|Full Participation in Practice|Probable|Texans|FRIDAY, OCTOBER 18TH|2013
Ben Tate |RB|Elbow|Full Participation in Practice|Probable|Texans|FRIDAY, OCTOBER 18TH|2013
Greg Jones |RB|Ankle, Illness|Limited Participation in Practice|Probable|Texans|FRIDAY, OCTOBER 18TH|2013
Keshawn Martin |WR|Shoulder|Limited Participation in Practice|Probable|Chiefs|FRIDAY, OCTOBER 18TH|2013
DeVier Posey |WR|Achilles|Full Participation in Practice|Probable|Chiefs|FRIDAY, OCTOBER 18TH|2013
Matt Schaub |QB|Ankle, Foot|Did Not Participate In Practice|Out|Chiefs|FRIDAY, OCTOBER 18TH|2013
Andre Johnson |WR|Shin|Full Participation in Practice|Probable|Chiefs|FRIDAY, OCTOBER 18TH|2013
Arian Foster |RB|Thumb, Chest/Hamstring|Full Participation in Practice|Probable|Chiefs|FRIDAY, OCTOBER 18TH|2013
Ben Tate |RB|Elbow|Full Participation in Practice|Probable|Chiefs|FRIDAY, OCTOBER 18TH|2013
Greg Jones |RB|Ankle, Illness|Limited Participation in Practice|Probable|Chiefs|FRIDAY, OCTOBER 18TH|2013
Brandon Stokley |WR|Thigh|Did Not Participate In Practice|Doubtful|Ravens|FRIDAY, OCTOBER 18TH|2013
Brandon Stokley |WR|Thigh|Did Not Participate In Practice|Doubtful|Steelers|FRIDAY, OCTOBER 18TH|2013
Willis McGahee |RB|Knee|Full Participation in Practice|Probable|Browns|FRIDAY, OCTOBER 18TH|2013
Bobby Rainey |RB||Full Participation in Practice||Browns|FRIDAY, OCTOBER 18TH|2013
Willis McGahee |RB|Knee|Full Participation in Practice|Probable|Packers|FRIDAY, OCTOBER 18TH|2013
Bobby Rainey |RB||Full Participation in Practice||Packers|FRIDAY, OCTOBER 18TH|2013
Eric Decker |WR|Shoulder|Full Participation in Practice|Probable|Broncos|FRIDAY, OCTOBER 18TH|2013
Virgil Green |TE|Back|Full Participation in Practice|Probable|Broncos|FRIDAY, OCTOBER 18TH|2013
Joel Dreessen |TE|Knee|Full Participation in Practice|Probable|Broncos|FRIDAY, OCTOBER 18TH|2013
Wes Welker |WR|Ankle|Full Participation in Practice|Probable|Broncos|FRIDAY, OCTOBER 18TH|2013
Eric Decker |WR|Shoulder|Full Participation in Practice|Probable|Colts|FRIDAY, OCTOBER 18TH|2013
Virgil Green |TE|Back|Full Participation in Practice|Probable|Colts|FRIDAY, OCTOBER 18TH|2013
Joel Dreessen |TE|Knee|Full Participation in Practice|Probable|Colts|FRIDAY, OCTOBER 18TH|2013
Wes Welker |WR|Ankle|Full Participation in Practice|Probable|Colts|FRIDAY, OCTOBER 18TH|2013
Adrian Peterson |RB|Hamstring|Limited Participation in Practice|Probable|Vikings|FRIDAY, OCTOBER 18TH|2013
